Date,Open,High,Low,Close,Adj Close,Volume
2017-11-07,224.119995,225.250000,221.360001,223.929993,219.746643,38900
2017-11-08,220.300003,220.300003,182.259995,206.259995,202.406769,360600
2017-11-09,204.559998,204.699997,198.000000,198.009995,194.310852,80100
2017-11-10,197.479996,200.600006,194.339996,195.869995,192.210815,61000
2017-11-13,195.869995,204.789993,195.869995,202.119995,198.344070,57300
2017-11-14,202.250000,207.199997,202.250000,204.149994,200.336166,78700
2017-11-15,201.839996,203.860001,198.910004,199.880005,196.145935,59600
2017-11-16,200.110001,205.589996,200.110001,204.419998,200.601120,59400
2017-11-17,202.830002,205.500000,202.229996,202.740005,198.952515,37000
2017-11-20,202.860001,204.500000,200.000000,204.259995,200.444107,63200
2017-11-21,204.259995,207.419998,203.139999,207.419998,203.545059,47000
2017-11-22,206.639999,207.479996,203.990005,204.550003,200.728683,40400
2017-11-24,204.080002,206.580002,202.500000,204.550003,200.728683,17800
2017-11-27,203.850006,206.250000,203.139999,205.509995,201.670746,47200
2017-11-28,205.149994,209.539993,203.850006,207.050003,203.182022,78700
2017-11-29,209.130005,212.639999,207.500000,211.440002,207.489975,67800
2017-11-30,212.160004,216.119995,211.500000,215.710007,211.680222,59700
2017-12-01,215.020004,218.589996,212.399994,216.929993,212.877396,50400
2017-12-04,218.300003,219.500000,212.100006,212.690002,208.716614,52600
2017-12-05,212.309998,213.490005,210.380005,211.600006,207.646957,37100
2017-12-06,211.339996,220.000000,211.339996,218.880005,214.791016,35700
2017-12-07,218.970001,225.250000,213.350006,225.199997,220.992920,70100
2017-12-08,226.910004,226.910004,220.289993,224.970001,220.767212,67800
2017-12-11,225.009995,229.000000,222.100006,227.520004,223.269592,73600
2017-12-12,227.410004,229.470001,222.009995,223.229996,219.059738,71500
2017-12-13,223.199997,226.300003,218.179993,218.539993,214.457306,66400
2017-12-14,219.699997,220.000000,216.000000,216.800003,212.749832,62500
2017-12-15,217.309998,226.479996,216.080002,226.389999,222.160675,169300
2017-12-18,227.910004,230.000000,223.250000,224.610001,220.413956,41000
2017-12-19,224.850006,225.500000,221.270004,222.339996,218.186340,51500
2017-12-20,221.070007,223.949997,220.910004,222.570007,218.412064,30800
2017-12-21,223.050003,229.429993,222.070007,224.059998,219.874191,79800
2017-12-22,225.300003,227.449997,221.570007,221.970001,217.823257,30900
2017-12-26,222.000000,222.970001,217.639999,218.660004,214.575073,68300
2017-12-27,218.089996,220.130005,216.809998,219.520004,215.419006,76300
2017-12-28,219.559998,220.399994,216.820007,216.830002,212.779251,40800
2017-12-29,218.160004,218.899994,215.000000,215.259995,211.238586,38200
2018-01-02,214.000000,216.119995,210.210007,211.279999,207.332932,64200
2018-01-03,211.000000,211.899994,208.000000,209.000000,205.095535,42100
2018-01-04,209.000000,211.500000,205.009995,205.509995,201.670746,56100
2018-01-05,206.000000,206.110001,200.509995,202.000000,198.226303,53900
2018-01-08,202.000000,209.470001,200.750000,208.949997,205.046494,59900
2018-01-09,209.000000,213.490005,205.149994,205.500000,201.660934,65400
2018-01-10,205.080002,206.869995,201.830002,205.179993,201.346924,45000
